Year,World Population
-10000,2431214
-9000,3564407
-8000,5136461
-7000,7561695
-6000,11461003
-5000,17920172
-4000,28370429
-3000,44819892
-2000,72108132
-1000,115065665
1,188239090
100,195062192
200,202309552
300,205316554
400,208909833
500,210429836
600,212642769
700,225835011
800,240487640
900,268747447
1000,295040195
1100,352606918
1200,393081040
1300,392403532
1400,389774827
1500,461367657
1600,553956116
1700,603167544
1750,811562143
1800,989818305
1850,1262682074
1900,1650000000
1901,1659947572
1902,1669996608
1903,1680114897
1904,1690269397
1905,1700426220
1906,1710550627
1907,1720607035
1908,1730559024
1909,1740369356
1910,1750000000
1911,1759443033
1912,1768814621
1913,1778264825
1914,1787947089
1915,1798018386
1916,1808639504
1917,1819975472
1918,1832196157
1919,1845477011
1920,1860000000
1921,1875909155
1922,1893171642
1923,1911708727
1924,1931439861
1925,1952282002
1926,1974148984
1927,1996950908
1928,2020593592
1929,2044978045
1930,2070000000
1931,2095524322
1932,2121306518
1933,2147063356
1934,2172497229
1935,2197296392
1936,2221135654
1937,2243677560
1938,2264574084
1939,2283468864
1940,2300000000
1941,2314055062
1942,2326540535
1943,2338643871
1944,2351580095
1945,2366593074
1946,2384963558
1947,2408024366
1948,2437183278
1949,2473954492
1950,2525149312
1951,2571867515
1952,2617940399
1953,2664029010
1954,2710677773
1955,2758314525
1956,2807246148
1957,2857662910
1958,2909651396
1959,2963216053
1960,3018343828
1961,3075073173
1962,3133554362
1963,3194075347
1964,3256988501
1965,3322495121
1966,3390685523
1967,3461343172
1968,3533966901
1969,3607865513
1970,3682487691
1971,3757734668
1972,3833594894
1973,3909722120
1974,3985733775
1975,4061399228
1976,4136542070
1977,4211322427
1978,4286282447
1979,4362189531
1980,4439632465
1981,4518602042
1982,4599003374
1983,4681210508
1984,4765657562
1985,4852540569
1986,4942056118
1987,5033804944
1988,5126632694
1989,5218978019
1990,5309667699
1991,5398328753
1992,5485115276
1993,5570045380
1994,5653315893
1995,5735123084
1996,5815392305
1997,5894155105
1998,5971882825
1999,6049205203
2000,6126622121
2001,6204310739
2002,6282301767
2003,6360764684
2004,6439842408
2005,6519635850
2006,6600220247
2007,6681607320
2008,6763732879
2009,6846479521
2010,6929725043
2011,7013427052
2012,7097500453
2013,7181715139
2014,7265785946
2015,7349472099
