Abington,Town,Plymouth,Open town meeting,"15,985",1712
Acton,Town,Middlesex,Open town meeting,"21,924",1735
Acushnet,Town,Bristol,Open town meeting,"10,303",1860
Adams,Town,Berkshire,Representative town meeting,"8,485",1778
Agawam,City[4],Hampden,Mayor-council,"28,438",1855
Alford,Town,Berkshire,Open town meeting,494,1773
Amesbury,City,Essex,Mayor-council,"16,283",1668
Amherst,Town,Hampshire,Representative town meeting,"37,819",1775
Andover,Town,Essex,Open town meeting,"33,201",1646
Aquinnah,Town,Dukes,Open town meeting,311,1870
Arlington,Town,Middlesex,Representative town meeting,"42,844",1807
Ashburnham,Town,Worcester,Open town meeting,"6,081",1765
Ashby,Town,Middlesex,Open town meeting,"3,074",1767
Ashfield,Town,Franklin,Open town meeting,"1,737",1765
Ashland,Town,Middlesex,Open town meeting,"16,593",1846
Athol,Town,Worcester,Open town meeting,"11,584",1762
Attleboro,City,Bristol,Mayor-council,"43,593",1694
Auburn,Town,Worcester,Representative town meeting,"16,188",1778
Avon,Town,Norfolk,Open town meeting,"4,356",1888
Ayer,Town,Middlesex,Open town meeting,"7,427",1871
Barnstable,City[4],Barnstable,Council-manager,"45,193",1639
Barre,Town,Worcester,Open town meeting,"5,398",1774
Becket,Town,Berkshire,Open town meeting,"1,779",1765
Bedford,Town,Middlesex,Open town meeting,"13,320",1729
Belchertown,Town,Hampshire,Open town meeting,"14,649",1761
Bellingham,Town,Norfolk,Open town meeting,"16,332",1719
Belmont,Town,Middlesex,Representative town meeting,"24,729",1859
Berkley,Town,Bristol,Open town meeting,"6,411",1735
Berlin,Town,Worcester,Open town meeting,"2,866",1812
Bernardston,Town,Franklin,Open town meeting,"2,129",1762
Beverly,City,Essex,Mayor-council,"39,502",1668
Billerica,Town,Middlesex,Representative town meeting,"40,243",1655
Blackstone,Town,Worcester,Open town meeting,"9,026",1845
Blandford,Town,Hampden,Open town meeting,"1,233",1741
Bolton,Town,Worcester,Open town meeting,"4,897",1738
Boston,City,Suffolk,Mayor-council,"617,660",1630
Bourne,Town,Barnstable,Open town meeting,"19,754",1884
Boxborough,Town,Middlesex,Open town meeting,"4,996",1835
Boxford,Town,Essex,Open town meeting,"7,965",1685
Boylston,Town,Worcester,Open town meeting,"4,355",1785
Braintree,City[4],Norfolk,Mayor-council,"35,744",1640
Brewster,Town,Barnstable,Open town meeting,"9,820",1803
Bridgewater,City[4],Plymouth,Council-manager,"26,563",1656
Brimfield,Town,Hampden,Open town meeting,"3,609",1731
Brockton,City,Plymouth,Mayor-council,"93,810",1821
Brookfield,Town,Worcester,Open town meeting,"3,390",1718
Brookline,Town,Norfolk,Representative town meeting,"58,732",1705
Buckland,Town,Franklin,Open town meeting,"1,902",1779
Burlington,Town,Middlesex,Representative town meeting,"24,498",1799
Cambridge,City,Middlesex,Mayor-manager-council,"105,162",1636
