Year,Hare Population,Lynx Population
1862.00,3000.00,3000.00
1864.00,8500.00,18000.00
1866.00,148000.00,43000.00
1868.00,6000.00,62000.00
1870.00,9000.00,10000.00
1872.00,25000.00,8000.00
1874.00,50000.00,30000.00
1876.00,90000.00,47000.00
1878.00,70000.00,42000.00
1880.00,10000.00,12000.00
1882.00,11000.00,13000.00
1884.00,42000.00,35000.00
1886.00,130000.00,72000.00
1888.00,50000.00,30000.00
1890.00,18000.00,22000.00
1892.00,40000.00,15000.00
1894.00,78000.00,40000.00
1896.00,35000.00,36000.00
1898.00,5000.00,23000.00
1900.00,10000.00,8000.00
1902.00,5000.00,10000.00
1904.00,58000.00,20000.00
1906.00,36000.00,58000.00
1908.00,23000.00,40000.00
1910.00,30000.00,10000.00
